"categoria_1","categoria_2","categoria_3","categoria_4","anio","componente","emision"
"procesos industriales","industria de los metales","producción de hierro y acero","producción de hierro y acero",1993,"co2",6019.6792
"procesos industriales","industria de los metales","producción de ferroaleaciones","producción de ferroaleaciones",1993,"co2",297.2332
"procesos industriales","industria de los metales","producción de aluminio","producción de aluminio",1993,"co2",38.661
"uso del suelo, cambio de uso del suelo y silvicultura","cambios de biomasa en bosques y otros tipos de vegetación leñosa","cambios de biomasa en bosques y otros tipos de vegetación leñosa","cambios de biomasa en bosques y otros tipos de vegetación leñosa",1993,"co2",14558.4746494071
"uso del suelo, cambio de uso del suelo y silvicultura","conversion de bosques y pastizales","conversion de bosques y pastizales","conversion de bosques y pastizales",1993,"co2",78651.8453566489
"uso del suelo, cambio de uso del suelo y silvicultura","captura por abandono de tierras manejadas","captura por abandono de tierras manejadas","captura por abandono de tierras manejadas",1993,"co2",-11356.68671031
"uso del suelo, cambio de uso del suelo y silvicultura","emisiones y remociones de co2 de los suelos","emisiones y remociones de co2 de los suelos","emisiones y remociones de co2 de los suelos",1993,"co2",29914.7446691825
"desechos (ipcc 2006)","incineración e incineración abierta de desechos","incineración e incineración abierta de desechos","incineración e incineración abierta de desechos",1993,"co2",201.303230022075
"bunkers","aviación internacional","aviación internacional","aviación internacional",1993,"co2",2140.69730806921
"bunkers","navegación internacional","navegación internacional","navegación internacional",1993,"co2",49.3763278354665
"emisiones de co2 por quema de biomasa","emisiones de co2 por quema de biomasa","emisiones de co2 por quema de biomasa","emisiones de co2 por quema de biomasa",1993,"co2",35758.7754333333
"energía","consumo de combustibles fósiles","producción de electricidad","producción de electricidad",1994,"co2",83739.5305725
"energía","consumo de combustibles fósiles","consumo propio","consumo propio",1994,"co2",38010.072017412
"energía","consumo de combustibles fósiles","hierro y acero","hierro y acero",1994,"co2",8311.89501819028
"energía","consumo de combustibles fósiles","metales no ferrosos","metales no ferrosos",1994,"co2",201.2852325
"energía","consumo de combustibles fósiles","productos químicos","productos químicos",1994,"co2",17948.176488
"energía","consumo de combustibles fósiles","pulpa, papel e impresión","pulpa, papel e impresión",1994,"co2",2578.0597095
"energía","consumo de combustibles fósiles","procesamiento de alimentos, bebidas y tabaco","procesamiento de alimentos, bebidas y tabaco",1994,"co2",3495.4568055
"energía","consumo de combustibles fósiles","otros","otros",1994,"co2",23069.960463
"energía","consumo de combustibles fósiles","aviación civil","aviación civil",1994,"co2",4852.84123705211
"energía","consumo de combustibles fósiles","autotransporte","autotransporte",1994,"co2",91747.558485
"energía","consumo de combustibles fósiles","ferrocarril","ferrocarril",1994,"co2",1877.438904
"energía","consumo de combustibles fósiles","navegación","navegación",1994,"co2",1841.90571
"energía","consumo de combustibles fósiles","comercio y sectores institucionales","comercio y sectores institucionales",1994,"co2",5861.330871
"energía","consumo de combustibles fósiles","residencial","residencial",1994,"co2",21038.042817
"energía","consumo de combustibles fósiles","agricultura, pesca y forestal","agricultura, pesca y forestal",1994,"co2",4926.504231
"procesos industriales","industria de los minerales","producción de cemento","producción de cemento",1994,"co2",15692.900637
"procesos industriales","industria de los minerales","producción de cal","producción de cal",1994,"co2",2328.62517
"procesos industriales","industria de los minerales","uso de piedra caliza y dolomita","uso de piedra caliza y dolomita",1994,"co2",3363.970099569
"procesos industriales","industria de los minerales","producción y uso de carbonato de sodio","producción y uso de carbonato de sodio",1994,"co2",182.6
"procesos industriales","industria química","producción de amoniaco","producción de amoniaco",1994,"co2",3702
"procesos industriales","industria de los metales","producción de hierro y acero","producción de hierro y acero",1994,"co2",6152.663
"procesos industriales","industria de los metales","producción de ferroaleaciones","producción de ferroaleaciones",1994,"co2",309.859
"uso del suelo, cambio de uso del suelo y silvicultura","cambios de biomasa en bosques y otros tipos de vegetación leñosa","cambios de biomasa en bosques y otros tipos de vegetación leñosa","cambios de biomasa en bosques y otros tipos de vegetación leñosa",1994,"co2",14826.9463235165
"uso del suelo, cambio de uso del suelo y silvicultura","conversion de bosques y pastizales","conversion de bosques y pastizales","conversion de bosques y pastizales",1994,"co2",69681.887777909
"uso del suelo, cambio de uso del suelo y silvicultura","captura por abandono de tierras manejadas","captura por abandono de tierras manejadas","captura por abandono de tierras manejadas",1994,"co2",-11952.477254949
"uso del suelo, cambio de uso del suelo y silvicultura","emisiones y remociones de co2 de los suelos","emisiones y remociones de co2 de los suelos","emisiones y remociones de co2 de los suelos",1994,"co2",28838.1116710814
"desechos (ipcc 2006)","incineración e incineración abierta de desechos","incineración e incineración abierta de desechos","incineración e incineración abierta de desechos",1994,"co2",202.867775709193
"bunkers","aviación internacional","aviación internacional","aviación internacional",1994,"co2",2162.88054641678
"bunkers","navegación internacional","navegación internacional","navegación internacional",1994,"co2",153.950328
"emisiones de co2 por quema de biomasa","emisiones de co2 por quema de biomasa","emisiones de co2 por quema de biomasa","emisiones de co2 por quema de biomasa",1994,"co2",34443.0658
"energía","consumo de combustibles fósiles","producción de electricidad","producción de electricidad",1995,"co2",77454.533948
"energía","consumo de combustibles fósiles","consumo propio","consumo propio",1995,"co2",34632.5203804415
"energía","consumo de combustibles fósiles","hierro y acero","hierro y acero",1995,"co2",9517.95843248967
"energía","consumo de combustibles fósiles","metales no ferrosos","metales no ferrosos",1995,"co2",188.9275905
"energía","consumo de combustibles fósiles","productos químicos","productos químicos",1995,"co2",17699.101068
"energía","consumo de combustibles fósiles","pulpa, papel e impresión","pulpa, papel e impresión",1995,"co2",2036.8440345
"energía","consumo de combustibles fósiles","procesamiento de alimentos, bebidas y tabaco","procesamiento de alimentos, bebidas y tabaco",1995,"co2",3679.6162095
"energía","consumo de combustibles fósiles","otros","otros",1995,"co2",23271.710121
"energía","consumo de combustibles fósiles","aviación civil","aviación civil",1995,"co2",4713.58922628643
"energía","consumo de combustibles fósiles","autotransporte","autotransporte",1995,"co2",87325.002072
"energía","consumo de combustibles fósiles","ferrocarril","ferrocarril",1995,"co2",1656.06771
"energía","consumo de combustibles fósiles","navegación","navegación",1995,"co2",1685.83059293478
"energía","consumo de combustibles fósiles","comercio y sectores institucionales","comercio y sectores institucionales",1995,"co2",5360.549865
"energía","consumo de combustibles fósiles","residencial","residencial",1995,"co2",20848.169265
"energía","consumo de combustibles fósiles","agricultura, pesca y forestal","agricultura, pesca y forestal",1995,"co2",5071.939455
"procesos industriales","industria de los minerales","producción de cemento","producción de cemento",1995,"co2",12523.1270715
"procesos industriales","industria de los minerales","producción de cal","producción de cal",1995,"co2",2291.25276
"procesos industriales","industria de los minerales","uso de piedra caliza y dolomita","uso de piedra caliza y dolomita",1995,"co2",4287.752133201
"procesos industriales","industria de los minerales","producción y uso de carbonato de sodio","producción y uso de carbonato de sodio",1995,"co2",120.35
"procesos industriales","industria química","producción de amoniaco","producción de amoniaco",1995,"co2",3633
"procesos industriales","industria de los metales","producción de hierro y acero","producción de hierro y acero",1995,"co2",6657.5662
"procesos industriales","industria de los metales","producción de ferroaleaciones","producción de ferroaleaciones",1995,"co2",207.8497
"procesos industriales","industria de los metales","producción de aluminio","producción de aluminio",1995,"co2",15.6195
"uso del suelo, cambio de uso del suelo y silvicultura","cambios de biomasa en bosques y otros tipos de vegetación leñosa","cambios de biomasa en bosques y otros tipos de vegetación leñosa","cambios de biomasa en bosques y otros tipos de vegetación leñosa",1995,"co2",11978.3113931033
"uso del suelo, cambio de uso del suelo y silvicultura","conversion de bosques y pastizales","conversion de bosques y pastizales","conversion de bosques y pastizales",1995,"co2",63701.916058749
"uso del suelo, cambio de uso del suelo y silvicultura","captura por abandono de tierras manejadas","captura por abandono de tierras manejadas","captura por abandono de tierras manejadas",1995,"co2",-12548.267799588
"uso del suelo, cambio de uso del suelo y silvicultura","emisiones y remociones de co2 de los suelos","emisiones y remociones de co2 de los suelos","emisiones y remociones de co2 de los suelos",1995,"co2",27877.0694259921
"desechos (ipcc 2006)","incineración e incineración abierta de desechos","incineración e incineración abierta de desechos","incineración e incineración abierta de desechos",1995,"co2",213.406918241403
"bunkers","aviación internacional","aviación internacional","aviación internacional",1995,"co2",2052.96150006053
"bunkers","navegación internacional","navegación internacional","navegación internacional",1995,"co2",86.6998590652172
"emisiones de co2 por quema de biomasa","emisiones de co2 por quema de biomasa","emisiones de co2 por quema de biomasa","emisiones de co2 por quema de biomasa",1995,"co2",35946.6869666667
"energía","consumo de combustibles fósiles","producción de electricidad","producción de electricidad",1996,"co2",82255.4493475
"energía","consumo de combustibles fósiles","consumo propio","consumo propio",1996,"co2",33368.2570737505
"energía","consumo de combustibles fósiles","hierro y acero","hierro y acero",1996,"co2",10470.5079956311
"energía","consumo de combustibles fósiles","metales no ferrosos","metales no ferrosos",1996,"co2",204.690222
"energía","consumo de combustibles fósiles","productos químicos","productos químicos",1996,"co2",17977.568202
"energía","consumo de combustibles fósiles","pulpa, papel e impresión","pulpa, papel e impresión",1996,"co2",2459.4665535
"energía","consumo de combustibles fósiles","procesamiento de alimentos, bebidas y tabaco","procesamiento de alimentos, bebidas y tabaco",1996,"co2",4043.463732
"energía","consumo de combustibles fósiles","otros","otros",1996,"co2",22171.313604
"energía","consumo de combustibles fósiles","aviación civil","aviación civil",1996,"co2",4264.1137928939
"energía","consumo de combustibles fósiles","autotransporte","autotransporte",1996,"co2",88838.162853
"energía","consumo de combustibles fósiles","ferrocarril","ferrocarril",1996,"co2",1773.829266
"energía","consumo de combustibles fósiles","navegación","navegación",1996,"co2",1737.78840899201
"energía","consumo de combustibles fósiles","comercio y sectores institucionales","comercio y sectores institucionales",1996,"co2",5810.8677
"energía","consumo de combustibles fósiles","residencial","residencial",1996,"co2",21797.708955
"energía","consumo de combustibles fósiles","agricultura, pesca y forestal","agricultura, pesca y forestal",1996,"co2",5421.210795
"procesos industriales","industria de los minerales","producción de cemento","producción de cemento",1996,"co2",13981.534185
"procesos industriales","industria de los minerales","producción de cal","producción de cal",1996,"co2",2374.13231
"procesos industriales","industria de los minerales","uso de piedra caliza y dolomita","uso de piedra caliza y dolomita",1996,"co2",5335.681613013
"procesos industriales","industria de los minerales","producción y uso de carbonato de sodio","producción y uso de carbonato de sodio",1996,"co2",120.35
"procesos industriales","industria química","producción de amoniaco","producción de amoniaco",1996,"co2",3750
"procesos industriales","industria de los metales","producción de hierro y acero","producción de hierro y acero",1996,"co2",6771.5253
